04-30-2024 17:59:55 RAM 9232/62841MB (lfb 3x4MB) SWAP 0/31421MB (cached 0MB) CPU [1%@729,1%@729,1%@729,0%@729,0%@729,0%@729,6%@729,9%@729,off,off,off,off] GR3D_FREQ 72% cpu@48.062C tboard@36.625C soc2@44.406C tdiode@41.875C soc0@44.031C gpu@45.812C tj@48.062C soc1@44.125C VDD_GPU_SOC 11971mW/11596mW VDD_CPU_CV 399mW/436mW VIN_SYS_5V0 7773mW/7724mW VDDQ_VDD2_1V8AO 2620mW/2544mW
04-30-2024 17:59:56 RAM 9232/62841MB (lfb 3x4MB) SWAP 0/31421MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,5%@729,12%@729,off,off,off,off] GR3D_FREQ 68% cpu@48.281C tboard@36.75C soc2@44.437C tdiode@41.875C soc0@44.187C gpu@46.062C tj@47.937C soc1@44.281C VDD_GPU_SOC 11572mW/11595mW VDD_CPU_CV 399mW/435mW VIN_SYS_5V0 7773mW/7725mW VDDQ_VDD2_1V8AO 2620mW/2547mW
04-30-2024 17:59:57 RAM 9232/62841MB (lfb 3x4MB) SWAP 0/31421MB (cached 0MB) CPU [1%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729,6%@729,11%@729,off,off,off,off] GR3D_FREQ 99% cpu@48.125C tboard@36.75C soc2@44.468C tdiode@42.125C soc0@44.125C gpu@46C tj@48.5C soc1@44.187C VDD_GPU_SOC 11572mW/11595mW VDD_CPU_CV 399mW/434mW VIN_SYS_5V0 7773mW/7727mW VDDQ_VDD2_1V8AO 2520mW/2546mW
04-30-2024 17:59:58 RAM 9232/62841MB (lfb 3x4MB) SWAP 0/31421MB (cached 0MB) CPU [1%@729,0%@729,3%@729,0%@729,0%@729,0%@729,7%@729,9%@729,off,off,off,off] GR3D_FREQ 99% cpu@48.031C tboard@36.75C soc2@44.468C tdiode@42C soc0@44.25C gpu@45.75C tj@48.031C soc1@44.343C VDD_GPU_SOC 11572mW/11594mW VDD_CPU_CV 399mW/433mW VIN_SYS_5V0 7672mW/7725mW VDDQ_VDD2_1V8AO 2520mW/2545mW
04-30-2024 17:59:59 RAM 9235/62841MB (lfb 4x4MB) SWAP 0/31421MB (cached 0MB) CPU [4%@729,3%@729,4%@1728,2%@1728,7%@729,2%@729,8%@729,7%@729,off,off,off,off] GR3D_FREQ 61% cpu@48.218C tboard@36.75C soc2@44.468C tdiode@42.125C soc0@44.218C gpu@46.125C tj@48.593C soc1@44.25C VDD_GPU_SOC 11572mW/11593mW VDD_CPU_CV 399mW/432mW VIN_SYS_5V0 7672mW/7724mW VDDQ_VDD2_1V8AO 2520mW/2544mW
04-30-2024 18:00:00 RAM 9235/62841MB (lfb 4x4MB) SWAP 0/31421MB (cached 0MB) CPU [4%@1728,1%@1728,1%@1728,1%@1728,9%@729,0%@729,7%@729,0%@729,off,off,off,off] GR3D_FREQ 99% cpu@48.125C tboard@36.875C soc2@44.5C tdiode@42.125C soc0@44.187C gpu@46C tj@48.125C soc1@44.531C VDD_GPU_SOC 11572mW/11593mW VDD_CPU_CV 399mW/431mW VIN_SYS_5V0 7672mW/7722mW VDDQ_VDD2_1V8AO 2520mW/2544mW
04-30-2024 18:00:01 RAM 9235/62841MB (lfb 4x4MB) SWAP 0/31421MB (cached 0MB) CPU [3%@729,4%@729,2%@729,2%@729,10%@729,0%@729,8%@729,0%@729,off,off,off,off] GR3D_FREQ 99% cpu@48.218C tboard@36.875C soc2@44.562C tdiode@42.25C soc0@44.218C gpu@45.625C tj@48.156C soc1@44.312C VDD_GPU_SOC 11173mW/11582mW VDD_CPU_CV 399mW/430mW VIN_SYS_5V0 7572mW/7718mW VDDQ_VDD2_1V8AO 2419mW/2540mW
04-30-2024 18:00:02 RAM 9235/62841MB (lfb 4x4MB) SWAP 0/31421MB (cached 0MB) CPU [4%@729,4%@729,2%@729,3%@729,8%@729,0%@729,9%@729,0%@729,off,off,off,off] GR3D_FREQ 96% cpu@48.187C tboard@36.875C soc2@44.531C tdiode@42.125C soc0@44.218C gpu@45.875C tj@48.187C soc1@44.25C VDD_GPU_SOC 11173mW/11571mW VDD_CPU_CV 399mW/429mW VIN_SYS_5V0 7572mW/7714mW VDDQ_VDD2_1V8AO 2419mW/2537mW
04-30-2024 18:00:03 RAM 9235/62841MB (lfb 4x4MB) SWAP 0/31421MB (cached 0MB) CPU [1%@729,0%@729,0%@729,1%@729,10%@729,0%@729,9%@729,0%@729,off,off,off,off] GR3D_FREQ 56% cpu@48.343C tboard@36.875C soc2@44.593C tdiode@42.125C soc0@44.375C gpu@46.125C tj@48.187C soc1@44.375C VDD_GPU_SOC 11572mW/11571mW VDD_CPU_CV 399mW/428mW VIN_SYS_5V0 7672mW/7713mW VDDQ_VDD2_1V8AO 2520mW/2537mW
04-30-2024 18:00:04 RAM 9246/62841MB (lfb 3x4MB) SWAP 0/31421MB (cached 0MB) CPU [4%@729,4%@729,3%@729,3%@729,11%@729,0%@729,14%@729,0%@729,off,off,off,off] GR3D_FREQ 67% cpu@48.312C tboard@37C soc2@44.562C tdiode@42.25C soc0@44.281C gpu@45.75C tj@48.312C soc1@44.281C VDD_GPU_SOC 11572mW/11571mW VDD_CPU_CV 399mW/428mW VIN_SYS_5V0 7672mW/7712mW VDDQ_VDD2_1V8AO 2520mW/2536mW
